Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
Yellow Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
Yellow Gladiolus | Gladiolus | Bulb | Gladiolus
Yellow King Humbert | Canna 'Yellow King Humbert' | Bulb | Canna Lily
Yellow Mammoth | Crocus flavus 'Yellow Mammoth' | Bulb | Crocus
Yellow Marigold | Tagetes 'Yellow' | Annual | Marigolds
Yellow Mum | Chrysanthemum 'Yellow' | Perennial | Chrysanthemums
Yellow Nasturtium | Tropaeolum majus | Annual | Nasturtium
Yellow Pansy | Viola wittrockiana 'Yellow' | Annual | Pansies & Violas
Yellow Petunia | Petunia 'Yellow' | Annual | Petunias
Yellow Portulaca | Portulaca grandiflora | Annual | Portulaca
Yellow Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Yellow Snapdragon | Antirrhinum 'Yellow' | Annual | Snapdragons
Yellow Statice | Limonium sinuatum | Annual | Statice
Yellow Strawflower | Xerochrysum bracteatum | Annual | Strawflower
Yellow Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Yellow Tuberous Begonia | Begonia × tuberhybrida | Annual | Tuberous Begonia
Yellow Viola | Viola cornuta 'Yellow' | Annual | Pansies & Violas
Yellow Wishbone Flower | Torenia fournieri | Annual | Wishbone Flower
Yellow Zinnia | Zinnia elegans 'Yellow' | Annual | Zinnias
Yoshino Cherry | Prunus × yedoensis | Tree | Flowering Cherry
Young Lady | Cotinus coggygria 'Young Lady' | Shrub | Smokebush
Yuletide | Camellia sasanqua 'Yuletide' | Shrub | Camellia
Zagreb | Coreopsis verticillata 'Zagreb' | Perennial | Coreopsis
Zebra Grass | Miscanthus sinensis 'Zebrinus' | Grass | Maiden Grass
Zinnia | Zinnia elegans | Annual | Zinnias
Zéphirine Drouhin | Rosa 'Zéphirine Drouhin' | Rose | Climbing Roses
